time,logger,level,message,exception
2012-08-02 00:21:53.3391,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Going to index 1 documents in IndexName: Temp/ImageModels, LastIndexedEtag: 00000000-0000-0100-0000-000000000008",
2012-08-02 00:21:53.3391,Raven.Database.Server.HttpServer,Debug,Request #  40: POST    -     2 ms - PhotoCache - 200 - /bulk_docs,
2012-08-02 00:21:53.3391,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Indexing 1 documents for index: Temp/ImageModels. (ImageModels/5778f9db-c78e-47af-892f-e4452eb9f490),
2012-08-02 00:21:53.3391,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on ImageModels/5778f9db-c78e-47af-892f-e4452eb9f490 result in index Temp/ImageModels gave document: 	__document_id IS: imagemodels/5778f9db-c78e-47af-892f-e4452eb9f490
",
2012-08-02 00:21:53.3391,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 3 documents for Temp/ImageModels,
2012-08-02 00:21:53.3391,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 18 because: WORK BY IndexingExecuter,
2012-08-02 00:21:53.3391,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 18, for: IndexingExecuter, will wait for additional work",
2012-08-02 00:21:53.3391,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 18, for: ReducingExecuter, will wait for additional work",
2012-08-02 00:21:53.3391,Raven.Database.Server.HttpServer,Debug,"	PUT ImageModels/5778f9db-c78e-47af-892f-e4452eb9f490
",
2012-08-02 00:21:53.3641,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'CacheModels/0abde8e3-8439-4be9-8860-0cd1db5f455c', update: False, ",
2012-08-02 00:21:53.3641,Raven.Database.DocumentDatabase,Debug,Put document CacheModels/0abde8e3-8439-4be9-8860-0cd1db5f455c with etag 00000000-0000-0100-0000-00000000000c,
2012-08-02 00:21:53.3641,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 19 because: PUT CacheModels/0abde8e3-8439-4be9-8860-0cd1db5f455c,
2012-08-02 00:21:53.3641,Raven.Database.DocumentDatabase,Debug,Successfully executed 1 commands in 00:00:00.0011829,
2012-08-02 00:21:53.3641,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0100-0000-00000000000b,
2012-08-02 00:21:53.3641,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 19, for: ReducingExecuter, will wait for additional work",
2012-08-02 00:21:53.3641,Raven.Database.Server.HttpServer,Debug,Request #  41: POST    -     2 ms - PhotoCache - 200 - /bulk_docs,
2012-08-02 00:21:53.3641,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"After read triggers executed, 1 documents remained",
2012-08-02 00:21:53.3641,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Going to index 1 documents in IndexName: Temp/CacheModels, LastIndexedEtag: 00000000-0000-0100-0000-00000000000b",
2012-08-02 00:21:53.3641,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"All documents have been filtered for Temp/ImageModels, no indexing will be performed, updating to 00000000-0000-0100-0000-00000000000c, 02/08/2012 7:21:53 AM",
2012-08-02 00:21:53.3641,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Indexing 1 documents for index: Temp/CacheModels. (CacheModels/0abde8e3-8439-4be9-8860-0cd1db5f455c),
